Type,Name,Latitude,Longitude
University,UI VR-II,64.1387985,-21.9554338
University,UI VR-III,64.1389552,-21.9535294
University,IUA,64.1509312,-21.8846831
University,Vísindagarðar,64.1363168,-21.946933
Collaborator,National Museum of Iceland,64.1416147,-21.948578
Collaborator,"Natitional Museum of Iceland, offices",64.0528612,-21.9766911
Collaborator,The Icelandic Handicraft Association,64.1221424,-21.8127903
Collaborator,Icelandic Textile Center,65.662246,-20.293471
Collaborator,Marel,64.077771,-21.920782
Collaborator,Ístex,64.1639947,-21.677679
Collaborator,Ýrúrarí,64.148736,-21.863781
Collaborator,Owen Mace,-30.0002315,136.2091547
Collaborator,Pfaff,64.1303209,-21.8744193
Collaborator,KIDKA Wool Factory,65.3912281,-20.9391287
Factory,Kniterate,41.3873974,2.168568
Factory,Passap Machines,47.4866143,7.7334272
Previous work,Bamberg Hackerspace,49.8988135,10.9027636
Previous work,Irene Wolf,46.2299538,6.0530968
Previous work,Knitterstream,45.50149664385228,-73.56884922976701
Pattern Book,Hólar í Hjaltadal,65.7331075,-19.1129523
Pattern Book,Hruni,64.138778106887,-20.2621234216363
Pattern Book,Móeiðarhvoll í Rangárvallasýslu,63.7670512838988,-20.3137477660001
Pattern Book,Fljótum í Skagafirði,65.7022189480375,-19.5826364586034
Pattern Book,Önundafjörður,66.0207782685866,-23.4496467480054
Pattern Book,vestan af Fjörðum,64.9156150759675,-13.7875984232067
Pattern Book,austan úr Hornafirði,64.2641715,-15.1907541
Pattern Book,Fjarðarhorni í Strandasýslu,65.1522576035719,-21.0848422129885
Pattern Book,Skaftafell,64.070414,-16.9751755
Pattern Book,Kjarni í Eyjafirði,66.0110462738509,-18.5548629112065
